------------------ 
Total Buy 8466.36 | Total Sell 9445.6 
Total Buy 16062.96 | Total Sell 19601.54 
Total Buy 26454.17 | Total Sell 28291.75 
------------------ 
Total Buy 7680.43 | Total Sell 9343.68 
Total Buy 34108.11 | Total Sell 33954.21000000001 
Total Buy 42756.26 | Total Sell 43225.380000000005 
Total Buy 52179.12 | Total Sell 51611.22 
Total Buy 62054.09000000001 | Total Sell 59948.53 
Total Buy 69969.43000000001 | Total Sell 69886.65 
Total Buy 78884.24000000002 | Total Sell 78273.51 
Total Buy 85726.42000000001 | Total Sell 90505.05999999998 
Total Buy 92953.93000000001 | Total Sell 102760.50999999998 
Total Buy 99221.46 | Total Sell 120206.14999999998 
Total Buy 106518.82 | Total Sell 130344.05999999997 
Total Buy 112775.71 | Total Sell 147332.69999999995 
Total Buy 119666.81000000001 | Total Sell 160505.56999999995 
Total Buy 126561.87000000002 | Total Sell 171307.97999999995 
Total Buy 132940.00000000003 | Total Sell 184670.65999999997 
Total Buy 140119.88 | Total Sell 198939.74999999997 
Total Buy 146958.25 | Total Sell 212360.85999999996 
Total Buy 154416.03 | Total Sell 224411.91999999995 
Total Buy 160274.34 | Total Sell 238209.67999999993 
Total Buy 166501.41 | Total Sell 253018.57999999996 
Total Buy 173152.0 | Total Sell 266008.02999999997 
Total Buy 180195.74 | Total Sell 278465.24 
Total Buy 187140.33 | Total Sell 290756.56 
Total Buy 194295.33999999997 | Total Sell 302689.1 
Total Buy 201703.95999999996 | Total Sell 315758.47 
Total Buy 208680.63999999998 | Total Sell 328800.98 
Total Buy 215407.64 | Total Sell 336676.86999999994 
Total Buy 223496.66 | Total Sell 345545.0999999999 
Total Buy 232317.33 | Total Sell 353558.9499999999 
Total Buy 240211.74999999997 | Total Sell 361945.59999999986 
Total Buy 247777.13999999996 | Total Sell 374294.9399999998 
Total Buy 253958.05999999997 | Total Sell 388502.9099999998 
Total Buy 262497.51 | Total Sell 405311.9299999998 
Total Buy 272338.57000000007 | Total Sell 417649.0499999998 
